GC_RPG,CULTURE,Surface_ha,cell,rupromax,rupromin,rupro,hcc,pro
1,Ble,5.48833669247683,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.4302386486908,8427,216.6,76.6,112.4,33.91,60
1,Ble,4.35017616213909,8515,76.6,76.6,76.96,34.24,40
1,Ble,4.35017616213909,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.0502262530455831,8519,216.6,186.94,187.76,36.3,87
1,Ble,3.95892424660288,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.33250329894945,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.904817918674426,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.89477583248033,8515,76.6,76.6,76.96,34.24,40
1,Ble,3.41931889169794,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.37142293711938,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.702893982188798,8514,81.85,76.6,77.39,34.23,40
1,Ble,1.46232579636074,8426,76.6,76.6,76.6,34.24,40
1,Ble,10.6190210637683,8519,216.6,186.94,187.76,36.3,87
1,Ble,10.6190210637683,8520,186.94,186.94,187.71,37.16,82
1,Ble,0.262018032218499,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.444232199508138,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.49783570600953,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.957628646793799,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.50750381974685,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.68758527850322,8427,216.6,76.6,112.4,33.91,60
1,Ble,4.18218055779145,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.836564610548504,8518,216.6,76.6,146.35,34.25,76
1,Ble,22.8285181067731,8519,216.6,186.94,187.76,36.3,87
1,Ble,22.8285181067731,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.54566137979608,8518,216.6,76.6,146.35,34.25,76
1,Ble,3.39209356941694,8518,216.6,76.6,146.35,34.25,76
1,Ble,3.43386917837393,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.86478737726173,8515,76.6,76.6,76.96,34.24,40
1,Ble,6.43575278729899,8606,86.22,76.6,81.37,34.14,43
1,Ble,1.10982351224958,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.75836485823179,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.785840281106172,8518,216.6,76.6,146.35,34.25,76
1,Ble,10.9664456993939,8519,216.6,186.94,187.76,36.3,87
1,Ble,3.52759239777795,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.24045115693974,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.793628154159847,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.504252816128312,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.41962312819371,8426,76.6,76.6,76.6,34.24,40
1,Ble,3.04134907045325,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.8162544700908,8426,76.6,76.6,76.6,34.24,40
1,Ble,3.0936392945841,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.7955764790777,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.721633141528629,8513,81.85,76.6,80.48,34.2,42
1,Ble,1.60560579770652,8519,216.6,186.94,187.76,36.3,87
1,Ble,2.19184823571946,8516,76.6,76.6,76.6,34.24,40
1,Ble,11.8718674278558,8516,76.6,76.6,76.6,34.24,40
1,Ble,3.00720141403188,8430,216.6,186.94,183.8,36.39,84
1,Ble,1.62409557277551,8520,186.94,186.94,187.71,37.16,82
1,Ble,1.62409557277551,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.10417014236919,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.848679639025708,8430,216.6,186.94,183.8,36.39,84
1,Ble,2.24877776319105,8606,86.22,76.6,81.37,34.14,43
1,Ble,1.16972469055329,8519,216.6,186.94,187.76,36.3,87
1,Ble,1.16972469055329,8520,186.94,186.94,187.71,37.16,82
1,Ble,1.87461223537612,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.23992543186462,8518,216.6,76.6,146.35,34.25,76
1,Ble,2.23992543186462,8518,216.6,76.6,146.35,34.25,76
1,Ble,2.97289855978042,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.203437063500239,8427,216.6,76.6,112.4,33.91,60
